500 998
1 2 1158
1 3 1724
1 4 668
2 1 1158
2 5 1363
3 1 1724
3 6 762
4 1 668
4 7 1021
5 2 1363
5 8 1057
5 9 714
6 3 762
6 10 530
7 4 1021
7 11 787
8 5 1057
8 12 442
9 5 714
10 6 530
10 13 896
11 7 787
11 14 1303
12 8 442
12 15 1198
13 10 896
13 16 604
14 11 1303
14 17 922
15 12 1198
15 18 551
16 13 604
16 19 894
17 14 922
17 20 738
18 15 551
18 21 847
19 16 894
19 22 824
20 17 738
20 23 1062
21 18 847
21 24 702
22 19 824
22 25 918
23 20 1062
23 26 616
24 21 702
24 27 584
25 22 918
25 28 467
26 23 616
26 29 892
27 24 584
27 30 930
28 25 467
28 31 779
29 26 892
29 32 639
30 27 930
30 33 841
31 28 779
31 34 753
32 29 639
32 35 906
33 30 841
33 36 662
34 31 753
34 37 790
35 32 906
35 38 705
36 33 662
36 39 1129
37 34 790
37 40 972
38 35 705
38 41 652
39 36 1129
39 42 610
40 37 972
40 43 669
41 38 652
41 44 864
42 39 610
42 45 772
43 40 669
43 46 528
44 41 864
44 47 926
45 42 772
45 48 651
46 43 528
46 49 866
47 44 926
47 50 851
48 45 651
48 51 964
49 46 866
49 52 786
50 47 851
50 53 718
51 48 964
51 54 723
52 49 786
52 55 871
53 50 718
53 56 840
54 51 723
54 57 729
55 52 871
55 58 628
56 53 840
56 59 1013
57 54 729
57 60 665
58 55 628
58 61 963
59 56 1013
59 62 734
60 57 665
60 63 877
61 58 963
61 64 851
62 59 734
62 65 789
63 60 877
63 66 631
64 61 851
64 67 671
65 62 789
65 68 703
66 63 631
66 69 708
67 64 671
67 70 597
68 65 703
68 71 759
69 66 708
69 72 974
70 67 597
70 73 674
71 68 759
71 74 635
72 69 974
72 75 665
73 70 674
73 76 856
74 71 635
74 77 943
75 72 665
75 78 619
76 73 856
76 79 812
77 74 943
77 80 767
78 75 619
78 81 650
79 76 812
79 82 774
80 77 767
80 83 827
81 78 650
81 84 671
82 79 774
82 85 644
83 80 827
83 86 633
84 81 671
84 87 920
85 82 644
85 88 911
86 83 633
86 89 823
87 84 920
87 90 1081
88 85 911
88 91 805
89 86 823
89 92 752
90 87 1081
90 93 683
91 88 805
91 94 764
92 89 752
92 95 869
93 90 683
93 96 719
94 91 764
94 97 806
95 92 869
95 98 661
96 93 719
96 99 682
97 94 806
97 100 745
98 95 661
98 101 1055
99 96 682
99 102 784
100 97 745
100 103 1013
101 98 1055
101 104 844
102 99 784
102 105 699
103 100 1013
103 106 765
104 101 844
104 107 685
105 102 699
105 108 684
106 103 765
106 109 842
107 104 685
107 110 703
108 105 684
108 111 720
109 106 842
109 112 659
110 107 703
110 113 848
111 108 720
111 114 749
112 109 659
112 115 805
113 110 848
113 116 802
114 111 749
114 117 731
115 112 805
115 118 678
116 113 802
116 119 673
117 114 731
117 120 744
118 115 678
118 121 639
119 116 673
119 122 784
120 117 744
120 123 776
121 118 639
121 124 1146
122 119 784
122 125 678
123 120 776
123 126 827
124 121 1146
124 127 818
125 122 678
125 128 789
126 123 827
126 129 836
127 124 818
127 130 768
128 125 789
128 131 694
129 126 836
129 132 771
130 127 768
130 133 811
131 128 694
131 134 837
132 129 771
132 135 693
133 130 811
133 136 809
134 131 837
134 137 801
135 132 693
135 138 758
136 133 809
136 139 756
137 134 801
137 140 839
138 135 758
138 141 653
139 136 756
139 142 837
140 137 839
140 143 711
141 138 653
141 144 883
142 139 837
142 145 1146
143 140 711
143 146 811
144 141 883
144 147 650
145 142 1146
145 148 733
146 143 811
146 149 689
147 144 650
147 150 665
148 145 733
148 151 787
149 146 689
149 152 789
150 147 665
150 153 729
151 148 787
151 154 758
152 149 789
152 155 736
153 150 729
153 156 1208
154 151 758
154 157 683
155 152 736
155 158 758
156 153 1208
156 159 847
157 154 683
157 160 648
158 155 758
158 161 865
159 156 847
159 162 849
160 157 648
160 163 640
161 158 865
161 164 683
162 159 849
162 165 833
163 160 640
163 166 641
164 161 683
164 167 636
165 162 833
165 168 702
166 163 641
166 169 649
167 164 636
167 170 686
168 165 702
168 171 788
169 166 649
169 172 674
170 167 686
170 173 671
171 168 788
171 174 666
172 169 674
172 175 829
173 170 671
173 176 803
174 171 666
174 177 812
175 172 829
175 178 649
176 173 803
176 179 663
177 174 812
177 180 700
178 175 649
178 181 737
179 176 663
179 182 685
180 177 700
180 183 635
181 178 737
181 184 748
182 179 685
182 185 835
183 180 635
183 186 784
184 181 748
184 187 670
185 182 835
185 188 768
186 183 784
186 189 844
187 184 670
187 190 791
188 185 768
188 191 780
189 186 844
189 192 773
190 187 791
190 193 709
191 188 780
191 194 815
192 189 773
192 195 756
193 190 709
193 196 657
194 191 815
194 197 643
195 192 756
195 198 752
196 193 657
196 199 858
197 194 643
197 200 764
198 195 752
198 201 778
199 196 858
199 202 858
200 197 764
200 203 642
201 198 778
201 204 770
202 199 858
202 205 706
203 200 642
203 206 759
204 201 770
204 207 691
205 202 706
205 208 661
206 203 759
206 209 753
207 204 691
207 210 764
208 205 661
208 211 772
209 206 753
209 212 702
210 207 764
210 213 673
211 208 772
211 214 685
212 209 702
212 215 780
213 210 673
213 216 695
214 211 685
214 217 771
215 212 780
215 218 741
216 213 695
216 219 707
217 214 771
217 220 730
218 215 741
218 221 685
219 216 707
219 222 697
220 217 730
220 223 692
221 218 685
221 224 830
222 219 697
222 225 770
223 220 692
223 226 659
224 221 830
224 227 691
225 222 770
225 228 759
226 223 659
226 229 814
227 224 691
227 230 832
228 225 759
228 231 823
229 226 814
229 232 801
230 227 832
230 233 714
231 228 823
231 234 827
232 229 801
232 235 744
233 230 714
233 236 774
234 231 827
234 237 664
235 232 744
235 238 873
236 233 774
236 239 820
237 234 664
237 240 857
238 235 873
238 241 670
239 236 820
239 242 771
240 237 857
240 243 785
241 238 670
241 244 717
242 239 771
242 245 777
243 240 785
243 246 792
244 241 717
244 247 871
245 242 777
245 248 753
246 243 792
246 249 691
247 244 871
247 250 707
248 245 753
248 251 697
249 246 691
249 252 709
250 247 707
250 253 724
251 248 697
251 254 842
252 249 709
252 255 713
253 250 724
253 256 695
254 251 842
254 257 721
255 252 713
255 258 760
256 253 695
256 259 699
257 254 721
257 260 729
258 255 760
258 261 777
259 256 699
259 262 802
260 257 729
260 263 775
261 258 777
261 264 744
262 259 802
262 265 856
263 260 775
263 266 737
264 261 744
264 267 672
265 262 856
265 268 738
266 263 737
266 269 679
267 264 672
267 270 829
268 265 738
268 271 855
269 266 679
269 272 747
270 267 829
270 273 850
271 268 855
271 274 811
272 269 747
272 275 803
273 270 850
273 276 772
274 271 811
274 277 726
275 272 803
275 278 687
276 273 772
276 279 666
277 274 726
277 280 747
278 275 687
278 281 694
279 276 666
279 282 760
280 277 747
280 283 745
281 278 694
281 284 738
282 279 760
282 285 752
283 280 745
283 286 683
284 281 738
284 287 664
285 282 752
285 288 720
286 283 683
286 289 686
287 284 664
287 290 758
288 285 720
288 291 863
289 286 686
289 292 846
290 287 758
290 293 680
291 288 863
291 294 789
292 289 846
292 295 698
293 290 680
293 296 691
294 291 789
294 297 715
295 292 698
295 298 796
296 293 691
296 299 784
297 294 715
297 300 679
298 295 796
298 301 848
299 296 784
299 302 636
300 297 679
300 303 773
301 298 848
301 304 747
302 299 636
302 305 672
303 300 773
303 306 799
304 301 747
304 307 630
305 302 672
305 308 800
306 303 799
306 309 720
307 304 630
307 310 785
308 305 800
308 311 710
309 306 720
309 312 783
310 307 785
310 313 764
311 308 710
311 314 642
312 309 783
312 315 740
313 310 764
313 316 805
314 311 642
314 317 745
315 312 740
315 318 683
316 313 805
316 319 647
317 314 745
317 320 809
318 315 683
318 321 756
319 316 647
319 322 744
320 317 809
320 323 651
321 318 756
321 324 794
322 319 744
322 325 814
323 320 651
323 326 691
324 321 794
324 327 669
325 322 814
325 328 822
326 323 691
326 329 666
327 324 669
327 330 779
328 325 822
328 331 817
329 326 666
329 332 774
330 327 779
330 333 743
331 328 817
331 334 751
332 329 774
332 335 753
333 330 743
333 336 673
334 331 751
334 337 681
335 332 753
335 338 734
336 333 673
336 339 718
337 334 681
337 340 834
338 335 734
338 341 721
339 336 718
339 342 785
340 337 834
340 343 656
341 338 721
341 344 794
342 339 785
342 345 773
343 340 656
343 346 718
344 341 794
344 347 736
345 342 773
345 348 806
346 343 718
346 349 641
347 344 736
347 350 825
348 345 806
348 351 710
349 346 641
349 352 857
350 347 825
350 353 792
351 348 710
351 354 772
352 349 857
352 355 815
353 350 792
353 356 742
354 351 772
354 357 737
355 352 815
355 358 696
356 353 742
356 359 755
357 354 737
357 360 776
358 355 696
358 361 762
359 356 755
359 362 641
360 357 776
360 363 661
361 358 762
361 364 680
362 359 641
362 365 833
363 360 661
363 366 713
364 361 680
364 367 863
365 362 833
365 368 849
366 363 713
366 369 815
367 364 863
367 370 644
368 365 849
368 371 707
369 366 815
369 372 672
370 367 644
370 373 686
371 368 707
371 374 694
372 369 672
372 375 762
373 370 686
373 376 833
374 371 694
374 377 793
375 372 762
375 378 762
376 373 833
376 379 738
377 374 793
377 380 809
378 375 762
378 381 681
379 376 738
379 382 864
380 377 809
380 383 781
381 378 681
381 384 718
382 379 864
382 385 697
383 380 781
383 386 678
384 381 718
384 387 846
385 382 697
385 388 680
386 383 678
386 389 755
387 384 846
387 390 730
388 385 680
388 391 790
389 386 755
389 392 785
390 387 730
390 393 705
391 388 790
391 394 748
392 389 785
392 395 742
393 390 705
393 396 694
394 391 748
394 397 807
395 392 742
395 398 759
396 393 694
396 399 726
397 394 807
397 400 645
398 395 759
398 401 751
399 396 726
399 402 702
400 397 645
400 403 772
401 398 751
401 404 710
402 399 702
402 405 777
403 400 772
403 406 793
404 401 710
404 407 700
405 402 777
405 408 717
406 403 793
406 409 772
407 404 700
407 410 765
408 405 717
408 411 697
409 406 772
409 412 777
410 407 765
410 413 730
411 408 697
411 414 812
412 409 777
412 415 745
413 410 730
413 416 714
414 411 812
414 417 690
415 412 745
415 418 715
416 413 714
416 419 783
417 414 690
417 420 725
418 415 715
418 421 731
419 416 783
419 422 866
420 417 725
420 423 758
421 418 731
421 424 778
422 419 866
422 425 779
423 420 758
423 426 735
424 421 778
424 427 729
425 422 779
425 428 690
426 423 735
426 429 732
427 424 729
427 430 727
428 425 690
428 431 670
429 426 732
429 432 655
430 427 727
430 433 659
431 428 670
431 434 776
432 429 655
432 435 739
433 430 659
433 436 708
434 431 776
434 437 746
435 432 739
435 438 704
436 433 708
436 439 708
437 434 746
437 440 653
438 435 704
438 441 736
439 436 708
439 442 621
440 437 653
440 443 667
441 438 736
441 444 715
442 439 621
442 445 756
443 440 667
443 446 731
444 441 715
444 447 717
445 442 756
445 448 683
446 443 731
446 449 722
447 444 717
447 450 830
448 445 683
448 451 760
449 446 722
449 452 673
450 447 830
450 453 766
451 448 760
451 454 714
452 449 673
452 455 851
453 450 766
453 456 703
454 451 714
454 457 651
455 452 851
455 458 712
456 453 703
456 459 703
457 454 651
457 460 706
458 455 712
458 461 773
459 456 703
459 462 707
460 457 706
460 463 726
461 458 773
461 464 721
462 459 707
462 465 805
463 460 726
463 466 716
464 461 721
464 467 724
465 462 805
465 468 635
466 463 716
466 469 734
467 464 724
467 470 761
468 465 635
468 471 763
469 466 734
469 472 668
470 467 761
470 473 701
471 468 763
471 474 792
472 469 668
472 475 765
473 470 701
473 476 755
474 471 792
474 477 720
475 472 765
475 478 818
476 473 755
476 479 774
477 474 720
477 480 726
478 475 818
478 481 761
479 476 774
479 482 698
480 477 726
480 483 805
481 478 761
481 484 679
482 479 698
482 485 706
483 480 805
483 486 833
484 481 679
484 487 731
485 482 706
485 488 741
486 483 833
486 489 685
487 484 731
487 490 718
488 485 741
488 491 717
489 486 685
489 492 784
490 487 718
490 493 720
491 488 717
491 494 783
492 489 784
492 495 677
493 490 720
493 496 736
494 491 783
494 497 681
495 492 677
495 498 679
496 493 736
496 499 791
497 494 681
497 500 712
498 495 679
499 496 791
500 497 712
